,Construction,使用年长,Type,Height (feet),Length (feet),Number of Inversions,Drop (feet),G Force,Vertical Angle (degrees),Speed,Time
1,Steel,25.0,1.0,42.6,2349.0,4.0,104.0,3.5,70.0,50.0,80
3,Steel,24.0,0.0,56.0,635.0,1.0,180.0,4.0,70.0,45.0,66
4,Steel,15.0,0.0,59.1,2822.0,2.0,31.0,3.0,46.0,56.0,92.0
5,Steel,6.0,0.0,63.0,1775.0,1.0,98.0,3.0,97.0,45.0,75.0
6,Steel,18.0,0.0,64.0,1148.3,2.0,180.0,5.0,87.0,37.3,75.0
7,Steel,14.0,0.0,64.0,1148.3,2.0,180.0,5.0,87.0,37.3,75.0
8,Steel,37.0,0.0,64.0,1148.3,2.0,64.0,4.0,54.0,37.3,60
9,Steel,38.0,0.0,64.0,1148.3,2.0,64.0,4.0,54.0,37.3,60.0
10,Steel,16.0,0.0,64.0,1148.0,2.0,180.0,5.0,87.0,37.3,75.0
12,Steel,1.0,0.0,72.0,1050.0,3.0,98.0,4.0,97.0,45.0,75.0
13,Steel,6.0,0.0,72.2,3838.6,14.0,98.4,4.5,50.0,52.8,165
14,Steel,23.0,0.0,74.2,2705.0,4.0,64.0,4.5,90.0,54.0,60
15,Steel,23.0,0.0,74.2,2705.0,4.0,64.0,4.5,50.0,54.0,144
16,Steel,22.0,0.0,75.0,1565.0,3.0,64.0,4.0,46.0,40.0,60
17,Steel,26.0,0.0,75.0,2400.0,2.0,67.0,4.0,54.0,40.0,130.0
18,Steel,30.0,0.0,78.7,1935.7,3.0,80.0,4.0,54.0,40.4,75
19,Steel,20.0,0.0,78.8,2705.0,4.0,80.0,4.5,97.0,60.0,75
20,Steel,17.0,0.0,80.0,3403.0,3.0,105.0,5.0,70.0,57.0,70
21,Steel,34.0,0.0,80.0,2050.0,2.0,80.0,4.0,54.0,65.0,90.0
23,Steel,43.0,3.0,85.0,2050.0,3.0,80.0,4.0,54.0,48.0,120
24,Steel,14.0,0.0,85.0,1950.0,3.0,88.0,4.0,90.0,50.0,90
25,Steel,13.0,1.0,85.3,2519.7,4.0,88.6,4.0,90.0,49.7,103.0
26,Steel,39.0,0.0,85.3,2431.1,1.0,80.0,4.0,54.0,49.1,130
27,Steel,14.0,0.0,95.0,3198.0,7.0,105.0,5.0,68.0,53.0,155
28,Steel,16.0,1.0,95.2,2460.7,4.0,88.0,4.5,90.0,47.8,103
30,Steel,10.0,0.0,98.0,3000.0,3.0,90.0,4.0,100.0,58.0,100.0
31,Steel,6.0,0.0,98.4,1279.5,2.0,98.0,3.0,120.0,40.0,75
32,Steel,13.0,0.0,98.4,2788.8,10.0,90.0,4.0,90.0,45.0,92
33,Steel,36.0,0.0,98.4,2316.3,4.0,80.0,4.0,54.0,39.2,130.0
34,Steel,17.0,0.0,98.4,2788.8,10.0,90.0,4.0,90.0,45.0,92
35,Steel,3.0,0.0,100.0,2744.0,3.0,98.0,3.8,78.0,52.0,100
36,Steel,10.0,0.0,100.0,2362.0,3.0,98.0,3.0,100.0,55.0,100
37,Steel,27.0,1.0,100.0,2700.0,5.0,91.0,4.0,54.0,50.0,120
38,Steel,11.0,0.0,100.0,3020.0,3.0,90.0,4.0,90.0,50.3,117
39,Steel,3.0,0.0,100.0,3200.0,3.0,98.0,3.0,78.0,53.0,100.0
40,Steel,7.0,4.0,100.0,2900.0,2.0,90.0,4.0,78.0,55.0,120
41,Steel,13.0,0.0,101.7,2723.1,8.0,98.0,3.0,90.0,49.7,135.0
42,Steel,43.0,0.0,102.0,2130.0,4.0,90.0,4.0,54.0,50.0,105
43,Steel,26.0,1.0,102.0,2260.0,3.0,91.0,4.0,54.0,50.0,146
44,Steel,43.0,0.0,103.7,2130.0,4.0,90.0,4.0,54.0,50.0,105
45,Steel,17.0,1.0,105.0,2700.2,5.0,80.0,4.9,90.0,49.7,75
46,Steel,25.0,1.0,105.0,2700.0,5.0,80.0,4.0,54.0,50.0,120
47,Steel,24.0,1.0,105.0,2693.0,5.0,80.0,4.0,54.0,50.0,120
48,Steel,20.0,1.0,105.0,2700.0,5.0,80.0,4.0,54.0,50.0,120
49,Steel,24.0,0.0,105.0,3281.0,3.0,100.0,4.0,50.0,44.0,125
50,Steel,26.0,1.0,105.0,2693.0,5.0,91.0,4.0,54.0,50.0,90
51,Steel,11.0,1.0,105.0,2693.0,5.0,80.0,4.0,90.0,50.0,120
52,Steel,12.0,0.0,105.0,4450.0,2.0,100.0,4.0,95.0,70.0,150
53,Steel,16.0,5.0,106.0,2798.0,2.0,100.0,4.0,50.0,51.0,180
54,Steel,1.0,0.0,106.0,1800.0,3.0,98.0,4.0,90.0,52.0,75.0
56,Steel,22.0,1.0,108.0,2562.0,5.0,81.2,4.6,54.0,50.0,120
57,Steel,2.0,0.0,108.0,2870.0,10.0,190.0,4.0,78.0,52.8,100.0
58,Steel,6.0,0.0,108.3,2870.8,10.0,98.0,4.0,78.0,52.8,100.0
59,Steel,5.0,0.0,108.3,2879.8,10.0,98.0,4.0,78.0,52.8,100.0
60,Steel,8.0,0.0,108.3,1601.1,2.0,98.0,4.0,120.0,41.0,75.0
61,Steel,4.0,0.0,109.0,3320.0,3.0,98.0,4.0,78.0,55.0,100.0
62,Steel,19.0,1.0,109.3,2260.5,5.0,111.0,4.0,70.0,49.7,96
63,Steel,20.0,1.0,109.3,2260.5,5.0,111.0,4.0,70.0,49.7,96
64,Steel,18.0,1.0,109.3,2260.5,5.0,111.0,4.0,70.0,49.7,96
65,Steel,21.0,0.0,109.3,2260.5,5.0,104.0,4.0,70.0,49.7,96
66,Steel,22.0,1.0,109.3,2260.5,5.0,81.0,4.0,54.0,49.7,96
67,Steel,24.0,1.0,109.3,2260.5,5.0,81.0,4.0,54.0,49.7,96
68,Steel,22.0,1.0,109.3,2260.5,5.0,81.0,4.0,54.0,49.7,96
69,Steel,24.0,1.0,109.3,2260.5,5.0,81.0,4.0,54.0,49.7,88
70,Steel,20.0,1.0,109.3,2260.5,5.0,111.0,4.0,70.0,49.7,96
71,Steel,11.0,1.0,109.3,2260.5,5.0,98.0,4.0,90.0,49.7,96
72,Steel,11.0,1.0,109.3,2260.5,5.0,98.0,4.0,90.0,49.7,96
73,Steel,20.0,0.0,110.0,3700.0,7.0,104.9,4.0,95.0,67.0,135
74,Steel,12.0,0.0,111.0,3444.0,3.0,100.0,4.7,68.0,53.0,150.0
75,Steel,43.0,0.0,113.0,3457.0,1.0,90.0,4.9,54.0,55.0,132
76,Steel,20.0,1.0,113.0,2956.0,6.0,120.0,4.0,50.0,62.0,167
77,Steel,18.0,5.0,115.0,3340.0,5.0,120.0,4.3,50.0,50.0,122
78,Steel,12.0,5.0,115.0,3340.0,5.0,111.0,4.3,50.0,50.0,130
79,Steel,24.0,1.0,115.0,2170.0,5.0,111.0,4.0,45.0,55.0,125
80,Steel,41.0,0.0,116.0,3600.0,2.0,118.0,3.0,45.0,60.0,120
81,Steel,31.0,0.0,116.5,935.0,3.0,177.0,5.2,54.0,47.0,108
82,Steel,31.0,0.0,116.5,935.0,3.0,177.0,5.2,54.0,47.0,108
83,Steel,19.0,0.0,116.5,935.0,3.0,54.0,5.2,54.0,47.0,108
84,Steel,21.0,0.0,116.5,935.0,3.0,180.0,5.2,70.0,47.0,108
85,Steel,20.0,0.0,116.5,935.0,3.0,54.0,5.2,54.0,47.0,108
86,Steel,19.0,0.0,116.5,935.0,3.0,54.0,5.2,54.0,47.0,108
87,Steel,19.0,0.0,116.5,935.0,3.0,54.0,5.2,54.0,47.0,108
88,Steel,6.0,0.0,116.5,935.0,3.0,54.0,5.2,78.0,47.0,108
89,Steel,20.0,0.0,116.5,935.0,3.0,54.0,5.2,54.0,47.0,108
90,Steel,21.0,0.0,116.5,935.0,3.0,180.0,5.2,70.0,47.0,108
91,Steel,23.0,0.0,116.5,935.0,3.0,177.0,5.2,70.0,47.0,108
92,Steel,17.0,1.0,117.8,2202.8,4.0,111.8,4.7,97.0,54.9,92
93,Steel,17.0,0.0,117.8,2600.0,5.0,180.0,4.0,70.0,55.0,140
94,Steel,30.0,0.0,118.0,3116.8,7.0,108.0,4.0,70.0,56.0,80
95,Steel,7.0,2.0,120.0,1019.0,5.0,54.0,4.0,78.0,38.0,75
96,Steel,18.0,0.0,120.0,6072.0,1.0,108.0,5.0,68.0,55.0,156
97,Steel,4.0,0.0,121.0,4990.0,2.0,128.0,5.0,80.0,57.0,220
98,Steel,11.0,0.0,121.0,2700.0,6.0,80.0,4.0,97.0,58.0,85
99,Steel,27.0,0.0,122.0,2742.0,5.0,108.0,4.0,70.0,52.0,80
100,Steel,4.0,0.0,124.0,3464.0,4.0,128.0,3.8,78.0,62.1,150
101,Steel,10.0,0.0,124.7,3464.5,4.0,100.0,3.8,95.0,62.1,150
102,Steel,7.0,2.0,127.0,2543.0,5.0,54.0,4.5,78.0,57.0,85
103,Steel,20.0,0.0,131.3,1013.8,3.0,177.0,5.0,70.0,50.0,90
104,Steel,9.0,1.0,131.3,3937.0,6.0,109.0,4.0,50.0,55.9,148
105,Steel,10.0,0.0,131.3,2296.6,1.0,98.0,4.0,97.0,62.1,96.0
106,Steel,5.0,0.0,134.5,4530.8,7.0,128.0,4.3,80.0,62.1,130
107,Steel,18.0,1.0,135.0,3110.0,4.0,120.0,4.0,50.0,58.0,136.0
109,Steel,25.0,1.0,137.0,3790.0,6.0,119.0,3.0,45.0,57.0,136
110,Steel,20.0,0.0,137.8,722.0,1.0,180.0,5.0,70.0,53.0,66.0
112,Steel,8.0,0.0,141.0,3280.8,7.0,196.0,4.0,121.0,62.1,112
113,Steel,20.0,0.0,142.0,3985.0,7.0,150.0,4.0,52.0,61.0,140
114,Steel,26.0,0.0,143.0,3978.0,7.0,135.0,3.8,52.0,60.0,174
115,Steel,23.0,0.0,145.0,3900.0,4.0,137.0,3.0,52.0,60.0,160
116,Steel,15.0,1.0,146.0,3125.0,6.0,109.0,4.0,50.0,55.0,150
117,Steel,2.0,1.0,147.0,2198.0,6.0,190.0,4.0,90.0,54.1,144
118,Steel,12.0,1.0,147.7,3280.8,6.0,123.0,4.0,50.0,55.9,140
119,Steel,22.0,1.0,147.7,4048.6,6.0,128.0,3.0,50.0,62.1,113
120,Steel,24.0,0.0,148.0,4165.0,8.0,161.0,3.0,60.0,65.0,105
121,Steel,41.0,0.0,148.0,800.0,1.0,90.0,5.0,90.0,55.0,36
122,Steel,32.0,0.0,148.0,3800.0,6.0,138.0,3.0,55.0,55.0,150
123,Steel,13.0,1.0,149.0,3081.0,4.0,123.0,4.0,50.0,60.0,138
124,Steel,19.0,0.0,149.0,4177.0,7.0,144.0,4.0,60.0,65.0,122
125,Steel,19.0,0.0,150.0,3937.0,7.0,150.0,4.5,60.0,65.0,195
126,Steel,23.0,1.0,150.0,3983.0,7.0,128.0,3.8,50.0,60.0,180
127,Steel,2.0,0.0,150.0,3738.0,6.0,190.0,4.0,90.0,65.0,165.0
128,Steel,5.0,0.0,150.0,863.0,1.0,54.0,5.0,90.0,62.0,60
129,Steel,16.0,0.0,150.0,3985.0,7.0,141.0,4.0,50.0,63.0,180
130,Steel,15.0,0.0,150.0,2600.0,3.0,180.0,4.0,90.0,75.0,50
131,Steel,15.0,0.0,151.6,492.2,2.0,175.0,5.0,90.0,65.3,50
132,Steel,13.0,0.0,151.6,1476.4,2.0,180.0,4.0,90.0,65.2,60
133,Steel,21.0,4.0,156.0,4370.0,6.0,146.0,4.2,50.0,65.0,180
134,Steel,6.0,0.0,160.0,2200.0,2.0,98.0,4.0,90.0,70.0,90
135,Steel,18.0,0.0,160.8,4081.3,1.0,147.0,4.0,80.0,111.8,155.0
136,Steel,19.0,1.0,164.1,3937.0,6.0,147.7,4.0,60.0,64.6,142
137,Steel,17.0,0.0,164.1,3608.9,7.0,147.0,4.0,79.0,62.1,146
139,Steel,5.0,1.0,167.0,4124.0,7.0,150.0,4.0,79.0,68.0,160
140,Steel,19.0,0.0,168.0,4015.0,6.0,150.0,4.0,60.0,70.0,155
141,Steel,13.0,5.0,170.0,3602.0,4.0,111.0,4.0,88.0,62.0,140.0
142,Steel,6.0,2.0,170.0,4164.0,6.0,164.0,4.0,79.0,67.0,160
143,Steel,17.0,2.0,175.0,3610.0,2.0,215.0,4.0,88.5,76.0,190.0
145,Steel,10.0,0.0,180.4,3215.2,2.0,196.0,4.0,90.0,68.4,112.0
147,Steel,26.0,0.0,186.0,5500.0,4.0,205.0,3.0,65.0,50.0,210
148,Steel,29.0,0.0,188.0,3830.0,7.0,171.0,3.0,60.0,70.0,150
149,Steel,17.0,1.0,191.0,1204.0,3.0,177.0,4.5,90.0,65.6,92
150,Steel,7.0,1.0,191.6,1204.0,3.0,177.0,4.5,90.0,65.6,92
151,Steel,22.0,1.0,195.0,3828.0,6.0,170.0,3.7,65.0,67.0,190
152,Steel,3.0,0.0,196.8,3438.3,1.0,190.0,5.0,90.0,77.7,165
153,Steel,3.0,1.0,196.8,4192.0,6.0,190.0,4.0,90.0,84.0,160.0
154,Steel,3.0,0.0,200.2,4176.5,2.0,190.3,4.2,90.0,71.5,128
155,Steel,1.0,0.0,200.2,3198.0,2.0,190.3,4.2,90.0,71.5,165.0
156,Steel,22.0,0.0,203.0,4777.0,2.0,144.0,3.0,65.0,67.0,160
157,Steel,12.0,0.0,205.0,3108.0,2.0,221.0,4.0,90.0,71.0,180
158,Steel,1.0,0.0,205.0,5740.0,4.0,200.0,5.0,90.0,74.0,150
159,Steel,3.0,0.0,206.7,4921.3,1.0,190.0,5.0,90.0,74.6,128.0
160,Steel,4.0,0.0,208.0,2735.0,4.0,190.0,4.0,116.0,70.0,150
161,Steel,21.0,0.0,218.0,1300.0,1.0,328.0,4.0,90.0,70.0,92.0
162,Steel,21.0,0.0,218.0,1300.0,1.0,328.0,4.0,90.0,70.0,92.0
163,Steel,3.0,0.0,223.0,3415.0,3.0,214.0,4.0,90.0,75.0,165.0
164,Steel,7.0,2.0,226.4,3444.9,3.0,214.0,5.0,90.0,78.3,112.0
165,Steel,4.0,0.0,239.5,4051.8,1.0,219.8,4.0,85.0,78.9,252.0
166,Steel,13.0,2.0,249.3,3782.8,3.0,255.0,4.0,88.0,78.3,130
167,Steel,1.0,0.0,252.6,4757.2,1.0,269.0,4.8,85.0,88.2,252.0
168,Steel,10.0,6.0,28.956,876.91,0.0,54.0,5.0,90.0,81.0,180
169,Steel,7.0,0.0,30.0,2800.0,0.0,54.0,4.0,50.0,43.0,120
170,Steel,31.0,0.0,38.4,3851.7,0.0,104.0,3.0,50.0,28.9,240
171,Steel,15.0,0.0,44.4,1906.0,0.0,31.0,3.0,50.0,40.0,120
172,Steel,14.0,0.0,45.2,1960.0,0.0,31.2,3.0,50.0,40.0,64
173,Steel,20.0,0.0,45.9,1213.9,0.0,180.0,5.0,87.0,28.0,110
174,Steel,12.0,0.0,48.0,1351.0,0.0,27.0,3.0,46.0,31.0,111.0
175,Steel,50.0,3.0,48.0,2540.0,0.0,104.0,3.0,54.0,42.0,162
176,Steel,11.0,0.0,53.0,1351.0,0.0,27.0,3.0,46.0,31.0,111
178,Steel,17.0,0.0,57.1,1526.6,0.0,52.5,4.0,46.0,41.0,80.0
179,Steel,15.0,0.0,57.4,1745.4,0.0,52.0,4.0,46.0,34.2,80
180,Steel,31.0,7.0,60.0,2800.0,0.0,104.0,3.0,78.0,55.0,90
181,Steel,12.0,0.0,62.3,2132.6,0.0,98.0,3.0,90.0,62.1,49
182,Steel,21.0,0.0,65.0,1222.0,0.0,180.0,4.5,87.0,68.0,75
183,Steel,19.0,0.0,65.6,2624.7,0.0,67.0,4.5,50.0,37.3,135
184,Steel,43.0,0.0,70.0,3100.0,0.0,64.0,4.0,54.0,42.0,120
187,Steel,9.0,0.0,72.2,1738.8,0.0,27.0,3.7,90.0,40.4,38
188,Steel,27.0,0.0,72.2,4921.3,0.0,39.3,3.0,50.0,40.4,236
189,Steel,22.0,0.0,73.0,2400.0,0.0,67.0,4.0,50.0,35.0,144
191,Steel,25.0,0.0,75.0,2500.0,0.0,64.0,4.0,50.0,55.0,130.0
193,Steel,32.0,7.0,76.0,2800.0,0.0,80.0,4.0,54.0,40.0,120
196,Steel,26.0,7.0,78.0,2352.0,0.0,80.0,4.0,90.0,51.0,112
201,Steel,30.0,0.0,83.7,3024.8,0.0,80.0,4.0,54.0,37.3,198
203,Steel,23.0,0.0,85.3,4199.5,0.0,80.0,3.0,50.0,31.1,175
205,Steel,24.0,0.0,90.0,2600.0,0.0,80.0,4.0,54.0,50.0,116
214,Steel,15.0,0.0,98.4,229.7,0.0,98.0,4.5,120.0,43.5,120
215,Steel,14.0,0.0,98.4,1279.5,0.0,98.0,3.0,68.0,49.7,200
217,Steel,3.0,0.0,98.4,4330.8,0.0,98.0,4.0,95.0,72.7,100.0
223,Steel,11.0,0.0,101.7,2477.0,0.0,98.4,3.0,67.4,52.8,60
224,Steel,11.0,0.0,101.7,2477.0,0.0,98.4,3.0,70.0,52.8,61
226,Steel,40.0,0.0,104.0,2671.0,0.0,90.0,4.0,54.0,28.0,180
227,Steel,28.0,0.0,107.0,7442.0,0.0,108.0,3.0,50.0,50.0,175.0
228,Steel,5.0,0.0,108.3,2358.9,0.0,98.0,4.3,78.0,51.6,100.0
239,Steel,41.0,0.0,125.3,3935.0,0.0,118.0,3.0,52.0,60.0,140
242,Steel,21.0,0.0,131.3,5457.7,0.0,205.0,5.0,65.0,60.9,236
246,Steel,20.0,0.0,150.0,3700.0,0.0,150.0,3.5,60.0,65.0,100
247,Steel,18.0,0.0,150.0,630.0,0.0,180.0,5.0,90.0,65.0,50.0
248,Steel,8.0,0.0,153.0,4200.0,0.0,147.0,4.0,79.0,68.6,120
250,Steel,28.0,0.0,160.0,3200.0,0.0,228.0,4.0,90.0,85.0,117
252,Steel,20.0,0.0,170.0,4882.0,0.0,210.0,4.1,65.0,73.0,135
253,Steel,8.0,0.0,170.6,2788.8,0.0,196.8,5.0,90.0,83.0,150.0
254,Steel,9.0,0.0,170.6,6561.7,0.0,225.0,4.0,80.0,149.1,130.0
255,Steel,18.0,0.0,173.9,4002.6,0.0,215.0,4.5,82.0,74.6,75
258,Steel,16.0,1.0,185.0,630.0,0.0,175.0,5.0,90.0,68.0,50.0
259,Steel,18.0,1.0,185.0,630.0,0.0,175.0,5.0,90.0,70.0,50.0
260,Steel,7.0,0.0,196.8,2910.0,0.0,221.2,5.2,90.0,83.0,150.0
262,Steel,19.0,0.0,197.0,5350.0,0.0,205.0,5.0,68.0,73.0,130
263,Steel,13.0,0.0,200.0,4480.0,0.0,175.0,4.0,90.0,70.0,75.0
265,Steel,7.0,0.0,200.0,3600.0,0.0,221.0,4.0,85.0,75.0,112.0
266,Steel,22.0,0.0,200.0,5600.0,0.0,205.0,3.0,65.0,75.0,180
267,Steel,20.0,0.0,202.0,5057.0,0.0,208.0,5.0,65.0,73.0,150
268,Steel,21.0,0.0,205.0,5600.0,0.0,205.0,3.5,65.0,75.0,180
269,Steel,30.0,0.0,205.0,5106.0,0.0,194.7,3.0,60.0,72.0,120
270,Steel,13.0,0.0,205.1,1312.3,0.0,177.0,5.0,90.0,80.0,92.0
272,Steel,23.0,0.0,207.0,5460.0,0.0,196.0,3.0,65.0,74.0,180
273,Steel,20.0,0.0,208.0,5400.0,0.0,205.0,5.0,68.0,73.0,122
274,Steel,19.0,0.0,208.0,5400.0,0.0,221.0,4.0,68.0,77.0,155
275,Steel,14.0,0.0,209.0,5843.0,0.0,225.0,4.0,60.0,80.0,163
276,Steel,25.0,0.0,213.0,5497.0,0.0,205.0,3.5,65.0,74.0,180
277,Steel,17.0,1.0,215.0,215.0,0.0,206.0,5.0,90.0,72.0,120.0
278,Steel,15.0,0.0,219.8,5577.4,0.0,205.0,5.0,65.0,74.6,184
279,Steel,11.0,0.0,230.0,5318.0,0.0,215.0,4.0,75.0,77.0,213.0
280,Steel,18.0,0.0,230.0,5394.0,0.0,215.0,4.0,68.0,80.0,140
281,Steel,10.0,0.0,230.0,5282.0,0.0,215.0,4.0,75.0,80.0,180
282,Steel,9.0,0.0,232.0,5316.0,0.0,211.0,4.0,74.0,75.0,213
283,Steel,19.0,0.0,235.0,4500.0,0.0,255.0,4.0,61.0,85.0,180
284,Steel,17.0,0.0,239.5,5315.0,0.0,219.8,4.0,68.5,78.9,240
285,Steel,3.0,0.0,242.8,5105.0,0.0,255.9,3.0,85.0,84.5,252
286,Steel,18.0,0.0,245.0,5312.0,0.0,255.0,4.0,61.0,85.0,210
287,Steel,7.0,0.0,249.3,5131.3,0.0,255.9,3.8,85.0,83.3,180
288,Steel,23.0,0.0,259.2,6708.7,0.0,229.7,3.5,65.0,80.8,216
289,Steel,16.0,0.0,262.5,3500.0,0.0,218.2,3.0,80.0,80.8,90
290,Steel,9.0,0.0,305.0,5100.0,0.0,300.0,3.0,85.0,90.0,180
291,Steel,7.0,0.0,306.0,5486.0,0.0,306.0,4.0,80.0,92.0,208
292,Steel,19.0,0.0,310.0,6595.0,0.0,300.0,4.0,80.0,93.0,140
294,Steel,4.0,0.0,325.0,6602.0,0.0,320.0,4.0,81.0,95.0,208.0
295,Steel,2.0,0.0,367.3,2887.2,0.0,400.0,5.0,90.0,111.8,30.0
296,Steel,22.0,0.0,377.3,1235.0,0.0,328.1,4.5,90.0,100.0,28
297,Steel,22.0,0.0,415.0,1235.0,0.0,328.1,4.5,90.0,100.0,28
298,Steel,16.0,0.0,420.0,2800.0,0.0,400.0,4.0,90.0,120.0,30
299,Steel,14.0,0.0,456.0,3118.0,0.0,418.0,5.0,90.0,128.0,28
